-33.009,1.6265,-35.079,3
-29.502,1.561,-34.94,3
-40.225,5.986,-34.754,3
-36.718,5.9205,-34.615,3
-26.197,5.7227,-34.197,3
-40.426,10.214,-34.149,3
-36.919,10.148,-34.01,3
-26.398,9.9507,-33.593,3
-22.891,9.8849,-33.454,3
-40.628,14.442,-33.545,3
29.513,13.126,-30.763,3
33.02,13.06,-30.624,3
40.035,12.928,-30.346,3
-40.829,18.67,-32.941,3
-33.815,18.538,-32.662,3
36.326,17.222,-29.881,3
-39.874,-3.3357,-32.279,3
-32.859,-3.4667,-32.001,3
-29.352,-3.5335,-31.861,3
-43.582,0.95832,-31.814,3
-40.075,0.8925,-31.674,3
-29.554,0.6951,-31.257,3
-22.54,0.56285,-30.979,3
23.052,-0.2923,-29.17,3
30.066,-0.4242,-28.893,3
33.573,-0.48969,-28.754,3
37.08,-0.55552,-28.614,3
-36.77,5.0543,-30.931,3
-22.741,4.7911,-30.374,3
-19.234,4.7256,-30.235,3
15.836,4.0672,-28.845,3
22.851,3.9353,-28.567,3
26.358,3.8695,-28.427,3
36.879,3.6721,-28.01,3
43.893,3.5408,-27.732,3
-40.478,9.3484,-30.466,3
-29.957,9.1509,-30.048,3
-22.943,9.0193,-29.771,3
-19.436,8.9536,-29.632,3
26.156,8.0978,-27.823,3
29.663,8.0317,-27.684,3
33.17,7.9659,-27.545,3
36.677,7.9002,-27.406,3
40.184,7.8344,-27.267,3
43.691,7.7687,-27.128,3
-26.651,13.313,-29.305,3
25.955,12.326,-27.219,3
29.462,12.26,-27.08,3
32.969,12.194,-26.941,3
36.476,12.128,-26.801,3
43.49,11.996,-26.524,3
-47.895,17.936,-29.536,3
-44.388,17.87,-29.397,3
-40.881,17.804,-29.257,3
-33.867,17.673,-28.979,3
-30.36,17.607,-28.84,3
-26.853,17.541,-28.702,3
39.781,16.29,-26.058,3
-29.001,-12.855,-29.387,3
-36.217,-8.4947,-29.06,3
-25.696,-8.6921,-28.643,3
-22.188,-8.7588,-28.504,3
-18.681,-8.8243,-28.365,3
26.911,-9.6804,-26.556,3
30.418,-9.7459,-26.418,3
33.925,-9.8114,-26.279,3
-36.418,-4.2671,-28.457,3
-29.404,-4.3984,-28.178,3
-25.897,-4.4648,-28.039,3
23.202,-5.3864,-26.092,3
